測定局コード,測定局名称,住所,局種別,地域コード,都道府県コード,市区町村名,SO2測定有無,NO測定有無,NO2測定有無,NOX測定有無,CO測定有無,OX測定有無,NMHC測定有無,CH4測定有無,THC測定有無,SPM測定有無,PM2.5測定有無,SP測定有無,WD測定有無,WS測定有無,TEMP測定有無,HUM測定有無,問い合わせ先
01202080,北美原小学校,函館市北美原１－９－１６,一般局,1,01,函館市,×,×,×,×,×,◯,×,×,×,×,◯,×,◯,◯,×,×,函館市
01202100,中部小学校,函館市新川町30-26,一般局,1,01,函館市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,函館市
01202120,深堀中学校,函館市深堀町２８－１,一般局,1,01,函館市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,函館市
01202560,美原,函館市美原３－３０－３,自排局,1,01,函館市,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,函館市
01203090,銭函,小樽市見晴町3-26,一般局,1,01,小樽市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,小樽市
01203100,勝納,小樽市勝納町10-1,一般局,1,01,小樽市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,小樽市
01203110,塩谷,小樽市塩谷2-10-5,一般局,1,01,小樽市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,小樽市
01203520,駅前交差点,小樽市稲穂2-22-8,自排局,1,01,小樽市,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,小樽市
01204010,中央,旭川市６条通９丁目,一般局,1,01,旭川市,◯,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,旭川市
01204011,中央,旭川市６条通９丁目,自排局,1,01,旭川市,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,旭川市
01204050,北門,旭川市錦町２１丁目,一般局,1,01,旭川市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,旭川市
01204150,東光,旭川市東光１６条７丁目,一般局,1,01,旭川市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,旭川市
01204160,永山,旭川市永山３条１９丁目,一般局,1,01,旭川市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,旭川市
01205020,御前水,室蘭市御前水町2－2,一般局,1,01,室蘭市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,室蘭市
01205060,白鳥台,室蘭市白鳥台5－35,一般局,1,01,室蘭市,◯,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,×,室蘭市
01205310,輪西,室蘭市輪西町3－2－33,一般局,1,01,室蘭市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,室蘭市
01205320,東,室蘭市寿町1－9,一般局,1,01,室蘭市,◯,×,×,×,×,◯,×,×,×,◯,×,×,×,×,×,×,室蘭市
01205540,汐見,室蘭市東町4－29,自排局,1,01,室蘭市,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,室蘭市
01206280,釧路高専,釧路市大楽毛西2-32,一般局,1,01,釧路市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,北海道
01206290,昭和小学校,釧路市昭和中央3丁目12番2号,一般局,1,01,釧路市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,北海道
01207090,帯広市役所,帯広市西５条南７丁目１番地,一般局,1,01,帯広市,×,×,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,北海道
01208510,北見市常磐町大気測定局舎,北見市常磐町2-1-8,自排局,1,01,北見市,×,×,×,×,×,×,×,×,×,◯,◯,×,×,×,×,×,北海道
01213020,双葉,苫小牧市双葉町３－２３,一般局,1,01,苫小牧市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,苫小牧市
01213050,明野公園,苫小牧市明野新町３－２,一般局,1,01,苫小牧市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,苫小牧市
01213070,勇払,苫小牧市字勇払２７－２３,一般局,1,01,苫小牧市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,苫小牧市
01213220,沼ノ端公園,苫小牧市沼ノ端中央５－４,一般局,1,01,苫小牧市,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,×,×,×,×,苫小牧市
01213510,糸井,苫小牧市しらかば町5丁目21番地,自排局,1,01,苫小牧市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,苫小牧市
01213610,市役所,苫小牧市旭町4-5-6,自排局,1,01,苫小牧市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01224010,日の出,千歳市日の出２－２０５５－１,一般局,1,01,千歳市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,北海道
01224020,富丘,千歳市富丘４－１３,一般局,1,01,千歳市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,千歳市
01224050,駒里,千歳市駒里２２３１－２,一般局,1,01,千歳市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01224060,若草,千歳市若草４－１３,一般局,1,01,千歳市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,千歳市
01226010,職業訓練校,砂川市焼山60-2,一般局,1,01,砂川市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01302010,樽川,石狩市樽川500-33,一般局,1,01,石狩市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,北海道
01424010,奈井江,空知郡奈井江町字奈井江147,一般局,1,01,空知郡奈井江町,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01518950,国設利尻酸性雨,利尻郡利尻町仙法志神磯193,一般局,1,01,利尻郡利尻町,◯,◯,◯,◯,×,◯,×,×,×,×,◯,×,◯,◯,〇,◯,環境省
01578010,白老,白老郡白老町大町１－６,一般局,1,01,白老郡白老町,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01578030,北吉原,白老郡白老町字北吉原８６,一般局,1,01,白老郡白老町,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01579020,遠浅,勇払郡安平町遠浅７５１－１,一般局,1,01,勇払郡安平町,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,北海道
01579030,早来,勇払郡安平町早来北町１２－２,一般局,1,01,勇払郡安平町,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01581010,厚真,勇払郡厚真町新町１２７－１０,一般局,1,01,勇払郡厚真町,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
01581020,上厚真,勇払郡厚真町字上厚真１８－１,一般局,1,01,勇払郡厚真町,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,北海道
01582020,田浦,勇払郡むかわ町田浦２０９－１,一般局,1,01,勇払郡むかわ町,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,北海道
01582030,鵡川,勇払郡むかわ町福住２丁目１８０番地,一般局,1,01,勇払郡むかわ町,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,北海道
02201070,堤小学校,青森市松原２－４－４,一般局,2,02,青森市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,青森市
02201080,甲田小学校,青森市金沢１－６－１,一般局,2,02,青森市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,青森市
02201090,新城中央小学校,青森市新城平岡１４１－１,一般局,2,02,青森市,×,◯,◯,×,×,×,×,×,×,◯,×,×,×,×,×,×,青森市
02201520,橋本小学校,青森市橋本１丁目９－１７,自排局,2,02,青森市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,×,×,×,×,×,×,青森市
02202060,弘前市立第一中学校,弘前市和徳町３６３－１３,一般局,2,02,弘前市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,青森県
02202510,文京小学校,弘前市中野１－１－１,自排局,2,02,弘前市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,青森県
02203050,根岸小学校,八戸市河原木根岸１－２,一般局,2,02,八戸市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,青森県
02203220,桔梗野小学校,八戸市市川町尻引前山３１－２,一般局,2,02,八戸市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県
02203240,八戸小学校,八戸市売市小待１５０,一般局,2,02,八戸市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,青森県
02203260,八戸特別地域気象観測所,八戸市大字湊町字舘鼻６７,一般局,2,02,八戸市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県
02203510,六日町,八戸市六日町１０,自排局,2,02,八戸市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,青森県
02204010,スポカルイン黒石,黒石市ぐみの木３－６５,一般局,2,02,黒石市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県
02205010,五所川原第三中学校,五所川原市広田藤浦１０５－１,一般局,2,02,五所川原市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,青森県
02206030,三本木中学校,十和田市西十三番町５－２４,一般局,2,02,十和田市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県
02207020,岡三沢町内会館,三沢市岡三沢七丁目１６－１,一般局,2,02,三沢市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,青森県
02208030,苫生小学校,むつ市金曲一丁目５－１０,一般局,2,02,むつ市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,青森県
02307950,国設竜飛岬酸性雨,東津軽郡外ヶ浜町三厩宇鉄山国有林84林班り2小班,一般局,2,02,東津軽郡,×,×,×,×,×,×,×,×,×,×,×,×,◯,◯,〇,◯,環境省
02321010,鰺ヶ沢町舞戸,西津軽郡鰺ヶ沢町大字舞戸町字鳴戸３８４－３７,一般局,2,02,西津軽郡鰺ヶ沢町,×,×,×,×,×,◯,×,×,×,×,×,×,×,×,×,×,青森県
02364510,大栄小学校,青森市浪岡大字大釈迦前田５－２,自排局,2,02,青森市,×,◯,◯,◯,×,×,◯,◯,◯,◯,×,×,×,×,×,×,青森市
02411010,尾駮小学校,上北郡六ヶ所村大字尾駮字野附４８３,一般局,2,02,上北郡六ヶ所村,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,青森県
03201070,津志田,盛岡市津志田１４－３７－２,一般局,2,03,盛岡市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,岩手県
03201550,上田,盛岡市上田４－１－１,自排局,2,03,盛岡市,×,◯,◯,◯,◯,×,×,×,×,◯,◯,×,×,×,×,×,岩手県
03202050,横町, 宮古市横町  ５－１ ,一般局,2,03,宮古市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,岩手県
03203090,猪川町, 大船渡市猪川町字前田  ６－１ ,一般局,2,03,大船渡市,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県
03204010,水沢,奥州市水沢区大手町５－５,一般局,2,03,奥州市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,岩手県
03205010,花城,花巻市花城町１－４１,一般局,2,03,花巻市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,◯,◯,×,×,岩手県
03206010,芳町,北上市芳町２－８,一般局,2,03,北上市,×,◯,◯,◯,×,◯,×,×,×,×,×,×,×,×,×,×,岩手県
03207010,八日町,久慈市八日町１－１,一般局,2,03,久慈市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県
03209010,竹山町,一関市竹山町７－５,一般局,2,03,一関市,◯,×,×,×,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,岩手県
03209510,三反田,一関市山目字三反田１５２－１,自排局,2,03,一関市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県
03211070,新町,釜石市釜石市新町６－５０,一般局,2,03,釜石市,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県
03213020,荷渡,二戸市石切所字荷渡６－３,一般局,2,03,二戸市,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県
03215010,江刺, 奥州市江刺区大通り  ７－１３ ,一般局,2,03,奥州市,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県
03305010,巣子,岩手郡滝沢村滝沢字巣子７３３－４,一般局,2,03,岩手郡滝沢村,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,岩手県
03321010,日詰, 紫波郡紫波町日詰字東裏  ８５－１ ,一般局,2,03,紫波郡紫波町,×,◯,◯,◯,×,×,×,×,×,×,×,×,×,×,×,×,岩手県
04101010,広瀬,仙台市青葉区下愛子字二本松４０,一般局,2,04,仙台市青葉区,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,仙台市
04101020,宮総局,仙台市青葉区下愛子字観音堂5,一般局,2,04,仙台市青葉区,×,×,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,仙台市
04101510,北根,仙台市青葉区北根一丁目１１,自排局,2,04,仙台市青葉区,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,仙台市
04104010,秋総局,仙台市太白区秋保町長袋大原４５?１,一般局,2,04,仙台市太白区,×,×,×,×,×,×,×,×,×,×,◯,×,×,×,×,×,仙台市
04105520,長命,仙台市泉区長命ケ丘２－２２,自排局,2,04,仙台市泉区,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,仙台市
04105530,将監,仙台市泉区将監４－４,自排局,2,04,仙台市泉区,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,仙台市
04201020,岩切,仙台市宮城野区岩切字三所南８８－１,一般局,2,04,仙台市宮城野区,×,×,×,×,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市
04201030,鶴谷,仙台市宮城野区鶴ヶ谷３－１７－１,一般局,2,04,仙台市宮城野区,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,仙台市
04201050,長町,仙台市太白区郡山６－５－１,一般局,2,04,仙台市太白区,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市
04201060,中山,仙台市青葉区中山６－１６－１,一般局,2,04,仙台市青葉区,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市
04201070,中野,仙台市宮城野区白鳥1-32-1,一般局,2,04,仙台市宮城野区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,仙台市
04201080,七郷,仙台市若林区荒井字堀添５３－２,一般局,2,04,仙台市若林区,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市
04201210,福室,仙台市宮城野区福室５－１６－１,一般局,2,04,仙台市宮城野区,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市
04201220,山田,仙台市太白区山田北前町３６－１,一般局,2,04,仙台市太白区,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市
04201230,榴岡,仙台市宮城野区五輪１－２－３,一般局,2,04,仙台市宮城野区,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,仙台市
04201540,苦竹,仙台市宮城野区原町３ー７,自排局,2,04,仙台市宮城野区,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,仙台市
04201550,木町,仙台市青葉区木町通１－７－３６,自排局,2,04,仙台市青葉区,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,仙台市
04201560,五橋,仙台市若林区清水小路３－１,自排局,2,04,仙台市若林区,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,仙台市
04202060,石巻西,石巻市石巻市門脇一番谷地51-10,一般局,2,04,石巻市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
04203010,塩釜,塩竃市旭町1-1,一般局,2,04,塩竃市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,宮城県
04203510,塩釜自排,塩竃市中の島１－９,自排局,2,04,塩竃市,×,◯,◯,◯,◯,×,×,×,×,◯,×,×,×,×,×,×,宮城県
04204020,古川2,大崎市古川旭４－１－１,一般局,2,04,大崎市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
04204510,古川自排,大崎市李埣３－１－３,自排局,2,04,大崎市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,宮城県
04205020,気仙沼,気仙沼市笹ヶ陣３－１,一般局,2,04,気仙沼市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
04206010,白石,白石市南町１－２－７９,一般局,2,04,白石市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
04207510,名取自排,名取市増田５－１８－３２,自排局,2,04,名取市,×,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,宮城県
04210010,七北田,仙台市泉区七北田字東裏９０,一般局,2,04,仙台市泉区,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,仙台市
04211010,岩沼,岩沼市中央３丁目１－１３,一般局,2,04,岩沼市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,宮城県
04323010,柴田,柴田郡柴田町船岡中央２－３－４５,一般局,2,04,柴田郡柴田町,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,宮城県
04341010,丸森,伊具郡丸森町大内字南平１９３－６,一般局,2,04,伊具郡丸森町,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,宮城県
04362010,山元,亘理郡山元町高瀬字合戦原１００－１,一般局,2,04,亘理郡山元町,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,宮城県
04401010,松島,宮城郡松島町高城字迎山３－５,一般局,2,04,宮城郡松島町,×,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,×,宮城県
04406010,利府,宮城郡利府町中央2-４,一般局,2,04,宮城郡利府町,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,宮城県
04421010,大和,黒川郡大和町吉岡字町裏３２,一般局,2,04,黒川郡大和町,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
04501010,国設箟岳,遠田郡涌谷町小塚字桜清水二1-5,一般局,2,04,遠田郡涌谷町,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,◯,×,×,×,×,×,宮城県
04521010,築館,栗原市築館藤木５－１,一般局,2,04,栗原市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
04541010,迫,登米市迫町佐沼字北散田１４７,一般局,2,04,登米市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
04562020,矢本２,東松島市矢本字町裏１５４,一般局,2,04,東松島市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,宮城県
05201010,将軍野,秋田市土崎港北二丁目１８番１８号,一般局,2,05,秋田市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,×,×,秋田市
05201030,茨島,秋田市茨島１－４－７１,一般局,2,05,秋田市,◯,×,×,×,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市
05201040,仁井田,秋田市仁井田本町四丁目５番２０号,一般局,2,05,秋田市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,◯,◯,×,×,秋田市
05201060,上新城,秋田市上新城五十丁字大村屋敷２２,一般局,2,05,秋田市,◯,×,×,×,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市
05201080,土崎,秋田市土崎港西五丁目３番１号,一般局,2,05,秋田市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市
05201120,山王,秋田市山王１－１－１,一般局,2,05,秋田市,◯,◯,◯,◯,×,×,◯,◯,◯,◯,×,×,◯,◯,×,×,秋田市
05201130,新屋,秋田市新屋扇町１３番３４号,一般局,2,05,秋田市,×,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市
05201340,堀川,秋田市飯島字堀川８４－１３０,一般局,2,05,秋田市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,◯,◯,×,×,秋田市
05201370,広面,秋田市広面字樋ノ上２８－３,一般局,2,05,秋田市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,×,×,秋田市
05201530,自排茨島,秋田市茨島１－４－７１,自排局,2,05,秋田市,×,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,秋田市
05202020,能代西,能代市盤若町３－１,一般局,2,05,能代市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,秋田県
05202040,檜山,能代市檜山字赤館４２－１,一般局,2,05,能代市,◯,◯,◯,◯,×,×,×,×,×,◯,×,×,×,×,×,×,秋田県
05203020,横手,横手市旭川１－３－４６,一般局,2,05,横手市,◯,×,×,×,×,×,×,×,×,◯,◯,×,×,×,×,×,秋田県
05204020,大館,大館市金坂後６,一般局,2,05,大館市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,秋田県
05205010,本荘,由利本荘市桜小路１,一般局,2,05,由利本荘市,×,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,秋田県
05206060,船川,男鹿市船川港船川字泉台３－２,一般局,2,05,男鹿市,×,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,×,×,×,×,秋田県
05208010,大曲,大仙市大曲上栄町１３－６２,一般局,2,05,大仙市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,×,×,×,×,秋田県
06201090,山形銅町,山形市銅町２－１０－８,一般局,2,06,山形市,×,×,×,×,×,◯,×,×,×,×,◯,×,×,×,×,×,山形県
06201110,山形成沢西,山形市成沢西１－３－３,一般局,2,06,山形市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形市
06201510,山形下山家,山形市下山家８１－５,自排局,2,06,山形市,×,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,×,×,×,×,×,山形県
06202010,米沢金池,米沢市金池２－９,一般局,2,06,米沢市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県
06203010,鶴岡錦町,鶴岡市錦町6-60,一般局,2,06,鶴岡市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県
06204050,酒田若浜,酒田市若浜町１－４０,一般局,2,06,酒田市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県
06205010,新庄下田,新庄市下田町８－１,一般局,2,06,新庄市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県
06206010,寒河江西根,寒河江市西根字石川西３５５,一般局,2,06,寒河江市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県
06208010,村山楯岡笛田,村山市楯岡笛田3-2-1,一般局,2,06,村山市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県
06209010,長井高野,長井市高野町２－３－１,一般局,2,06,長井市,◯,◯,◯,◯,×,◯,×,×,×,◯,◯,×,×,×,×,×,山形県
06422010,余目,東田川郡庄内町大字余目字猿田８７,一般局,2,06,東田川郡庄内町,◯,◯,◯,◯,×,×,×,×,×,◯,◯,×,×,×,×,×,山形県
07201180,古川,福島市古川44-2,一般局,2,07,福島市,×,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島市
07201190,南町,福島市郷野目字向町17-2,一般局,2,07,福島市,◯,◯,◯,◯,×,◯,×,×,×,◯,×,×,◯,◯,〇,◯,福島市
07201200,森合,福島市森合字中谷地4-4,一般局,2,07,福島市,◯,◯,◯,◯,×,◯,◯,◯,◯,◯,◯,×,◯,◯,〇,◯,福島市
07201510,松浪町,福島市松浪町3-46,自排局,2,07,福島市,×,◯,◯,◯,◯,×,◯,◯,◯,×,×,×,◯,◯,〇,◯,福島市
